Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Light intensity
3709,-0.190680,-0.551483,11.964239,-0.395492,-0.273457,-0.287138,-14.648933,-12.513367,-38.789017,387.000000
3711,-0.171516,-0.654489,12.009754,-0.395492,-0.273457,-0.287138,-14.648933,-12.513367,-38.789017,387.000000
3714,-0.171516,-0.654489,12.009754,-0.369394,-0.284642,-0.300454,-14.648933,-12.513367,-38.789017,387.000000
3714,-0.109234,-0.750308,12.060060,-0.369394,-0.284642,-0.300454,-14.648933,-12.513367,-38.789017,387.000000
3713,-0.109234,-0.750308,12.060060,-0.369394,-0.284642,-0.300454,-15.910275,-13.045948,-38.762802,387.000000
3716,-0.145166,-0.810195,12.153482,-0.369394,-0.284642,-0.300454,-15.910275,-13.045948,-38.762802,387.000000
3719,-0.145166,-0.810195,12.153482,-0.327316,-0.279316,-0.312171,-15.910275,-13.045948,-38.762802,387.000000
3719,-0.207449,-0.927573,12.187019,-0.327316,-0.279316,-0.312171,-15.910275,-13.045948,-38.762802,387.000000
3721,-0.202658,-0.975483,12.251698,-0.327316,-0.279316,-0.312171,-15.910275,-13.045948,-38.762802,387.000000
3724,-0.202658,-0.975483,12.251698,-0.273520,-0.253217,-0.323889,-15.910275,-13.045948,-38.762802,387.000000
3724,-0.200262,-0.997042,12.280443,-0.273520,-0.253217,-0.323889,-15.910275,-13.045948,-38.762802,387.000000
3723,-0.200262,-0.997042,12.280443,-0.273520,-0.253217,-0.323889,-16.546127,-13.031372,-38.758591,387.000000
3726,-0.298477,-1.025788,12.354702,-0.273520,-0.253217,-0.323889,-16.546127,-13.031372,-38.758591,387.000000
3728,-0.298477,-1.025788,12.354702,-0.208539,-0.201019,-0.327085,-16.546127,-13.031372,-38.758591,387.000000
3728,-0.262545,-1.001833,12.359493,-0.208539,-0.201019,-0.327085,-16.546127,-13.031372,-38.758591,387.000000
3731,-0.224217,-0.965901,12.306793,-0.208539,-0.201019,-0.327085,-16.546127,-13.031372,-38.758591,387.000000
3733,-0.224217,-0.965901,12.306793,-0.133970,-0.133375,-0.320161,-16.546127,-13.031372,-38.758591,387.000000
3733,-0.257754,-0.882059,12.244511,-0.133970,-0.133375,-0.320161,-16.546127,-13.031372,-38.758591,387.000000
3733,-0.257754,-0.882059,12.244511,-0.133970,-0.133375,-0.320161,-17.169308,-13.577396,-38.096222,387.000000
3736,-0.264940,-0.862895,12.117551,-0.133970,-0.133375,-0.320161,-17.169308,-13.577396,-38.096222,387.000000
3738,-0.264940,-0.862895,12.117551,-0.046086,-0.063068,-0.304182,-17.169308,-13.577396,-38.096222,387.000000
3738,-0.200262,-0.793426,11.971426,-0.046086,-0.063068,-0.304182,-17.169308,-13.577396,-38.096222,387.000000
3741,-0.236194,-0.700003,11.791765,-0.046086,-0.063068,-0.304182,-17.169308,-13.577396,-38.096222,387.000000
3743,-0.236194,-0.700003,11.791765,0.048722,-0.006609,-0.285540,-17.169308,-13.577396,-38.096222,387.000000
3743,-0.274522,-0.680839,11.595336,0.048722,-0.006609,-0.285540,-17.169308,-13.577396,-38.096222,387.000000
3743,-0.274522,-0.680839,11.595336,0.048722,-0.006609,-0.285540,-14.646626,-12.512230,-38.148666,387.000000
3746,-0.281708,-0.637720,11.451608,0.048722,-0.006609,-0.285540,-14.646626,-12.512230,-38.148666,387.000000
3748,-0.281708,-0.637720,11.451608,0.149922,0.029610,-0.266365,-14.646626,-12.512230,-38.148666,387.000000
3748,-0.205053,-0.565856,11.283924,0.149922,0.029610,-0.266365,-14.646626,-12.512230,-38.148666,387.000000
3751,-0.173912,-0.474828,11.030004,0.149922,0.029610,-0.266365,-14.646626,-12.512230,-38.148666,387.000000
3753,-0.173912,-0.474828,11.030004,0.245264,0.050916,-0.251984,-14.646626,-12.512230,-38.148666,387.000000
3753,-0.154748,-0.424523,10.816806,0.245264,0.050916,-0.251984,-14.646626,-12.512230,-38.148666,387.000000
3753,-0.154748,-0.424523,10.816806,0.245264,0.050916,-0.251984,-17.167000,-13.576260,-37.455864,387.000000
3756,-0.145166,-0.414941,10.596421,0.245264,0.050916,-0.251984,-17.167000,-13.576260,-37.455864,387.000000
3758,-0.142771,-0.367031,10.397597,0.245264,0.050916,-0.251984,-17.167000,-13.576260,-37.455864,387.000000
3758,-0.142771,-0.367031,10.397597,0.338474,0.076482,-0.236538,-17.167000,-13.576260,-37.455864,387.000000
3761,-0.166725,-0.326308,10.122116,0.338474,0.076482,-0.236538,-17.167000,-13.576260,-37.455864,387.000000
3763,-0.166725,-0.326308,10.122116,0.424760,0.105777,-0.216830,-17.167000,-13.576260,-37.455864,387.000000
3763,-0.166725,-0.297562,9.870591,0.424760,0.105777,-0.216830,-17.167000,-13.576260,-37.455864,387.000000
3763,-0.166725,-0.297562,9.870591,0.424760,0.105777,-0.216830,-15.290535,-11.934788,-37.521889,387.000000
3766,-0.116420,-0.237675,9.638230,0.424760,0.105777,-0.216830,-15.290535,-11.934788,-37.521889,387.000000
3768,-0.116420,-0.237675,9.638230,0.502525,0.128680,-0.199254,-15.290535,-11.934788,-37.521889,387.000000
3768,-0.130793,-0.192161,9.355563,0.502525,0.128680,-0.199254,-15.290535,-11.934788,-37.521889,387.000000
3771,-0.147562,-0.127483,9.171112,0.502525,0.128680,-0.199254,-15.290535,-11.934788,-37.521889,387.000000
3773,-0.147562,-0.127483,9.171112,0.567506,0.131343,-0.182742,-15.290535,-11.934788,-37.521889,387.000000
3773,-0.140375,-0.127483,8.996243,0.567506,0.131343,-0.182742,-15.290535,-11.934788,-37.521889,387.000000
3773,-0.140375,-0.127483,8.996243,0.567506,0.131343,-0.182742,-15.259445,-13.619986,-37.468498,387.000000
3776,-0.116420,-0.060410,8.802209,0.567506,0.131343,-0.182742,-15.259445,-13.619986,-37.468498,387.000000
3778,-0.102047,0.004268,8.629733,0.567506,0.131343,-0.182742,-15.259445,-13.619986,-37.468498,387.000000
3778,-0.102047,0.004268,8.629733,0.616508,0.118560,-0.168361,-15.259445,-13.619986,-37.468498,387.000000
3781,-0.121211,0.080923,8.433305,0.616508,0.118560,-0.168361,-15.259445,-13.619986,-37.468498,387.000000
3783,-0.121211,0.080923,8.433305,0.645270,0.094059,-0.158241,-15.259445,-13.619986,-37.468498,387.000000
3783,-0.121211,0.128833,8.227293,0.645270,0.094059,-0.158241,-15.259445,-13.619986,-37.468498,387.000000
3783,-0.121211,0.128833,8.227293,0.645270,0.094059,-0.158241,-16.523094,-14.153698,-38.082642,387.000000
3786,-0.116420,0.174347,8.028469,0.645270,0.094059,-0.158241,-16.523094,-14.153698,-38.082642,387.000000
3788,-0.116420,0.174347,8.028469,0.641542,0.055709,-0.153447,-16.523094,-14.153698,-38.082642,387.000000
3788,-0.152353,0.207884,7.853599,0.641542,0.055709,-0.153447,-16.523094,-14.153698,-38.082642,387.000000
3791,-0.114025,0.219861,7.769756,0.641542,0.055709,-0.153447,-16.523094,-14.153698,-38.082642,387.000000
3793,-0.114025,0.219861,7.769756,0.618638,0.009370,-0.153980,-16.523094,-14.153698,-38.082642,387.000000
3793,-0.111629,0.193511,7.666751,0.618638,0.009370,-0.153980,-16.523094,-14.153698,-38.082642,387.000000
3793,-0.111629,0.193511,7.666751,0.618638,0.009370,-0.153980,-16.531147,-13.590832,-37.460075,387.000000
3796,-0.128398,0.217466,7.594886,0.618638,0.009370,-0.153980,-16.531147,-13.590832,-37.460075,387.000000
3798,-0.128398,0.217466,7.594886,0.575495,-0.034305,-0.158241,-16.531147,-13.590832,-37.460075,387.000000
3798,-0.087675,0.224652,7.578118,0.575495,-0.034305,-0.158241,-16.531147,-13.590832,-37.460075,387.000000
3801,-0.034974,0.203093,7.523023,0.575495,-0.034305,-0.158241,-16.531147,-13.590832,-37.460075,387.000000
3803,-0.034974,0.203093,7.523023,0.513710,-0.072655,-0.164632,-16.531147,-13.590832,-37.460075,387.000000
3803,0.034495,0.215070,7.448762,0.513710,-0.072655,-0.164632,-16.531147,-13.590832,-37.460075,387.000000
3803,0.034495,0.215070,7.448762,0.513710,-0.072655,-0.164632,-14.623589,-13.634558,-37.472710,387.000000
3806,0.039286,0.229443,7.429598,0.513710,-0.072655,-0.164632,-14.623589,-13.634558,-37.472710,387.000000
3808,0.039286,0.229443,7.429598,0.435946,-0.104080,-0.177416,-14.623589,-13.634558,-37.472710,387.000000
3808,0.101568,0.188720,7.424808,0.435946,-0.104080,-0.177416,-14.623589,-13.634558,-37.472710,387.000000
3811,0.154269,0.164765,7.434390,0.435946,-0.104080,-0.177416,-14.623589,-13.634558,-37.472710,387.000000
3813,0.154269,0.164765,7.434390,0.345931,-0.126983,-0.204047,-14.623589,-13.634558,-37.472710,387.000000
3813,0.154269,0.119251,7.465531,0.345931,-0.126983,-0.204047,-14.623589,-13.634558,-37.472710,387.000000
3816,0.194992,0.080923,7.472717,0.345931,-0.126983,-0.204047,-14.623589,-13.634558,-37.472710,387.000000
3813,0.194992,0.080923,7.472717,0.345931,-0.126983,-0.204047,-17.146271,-14.699720,-37.420265,387.000000
3818,0.194992,0.080923,7.472717,0.243666,-0.133908,-0.236538,-17.146271,-14.699720,-37.420265,387.000000
3818,0.233319,0.090505,7.508649,0.243666,-0.133908,-0.236538,-17.146271,-14.699720,-37.420265,387.000000
3821,0.190201,0.066551,7.599678,0.243666,-0.133908,-0.236538,-17.146271,-14.699720,-37.420265,387.000000
3823,0.190201,0.066551,7.599678,0.129682,-0.133908,-0.267963,-17.146271,-14.699720,-37.420265,387.000000
3823,0.197387,-0.000523,7.626028,0.129682,-0.133908,-0.267963,-17.146271,-14.699720,-37.420265,387.000000
3823,0.197387,-0.000523,7.626028,0.129682,-0.133908,-0.267963,-19.056133,-14.657131,-38.047997,387.000000
3826,0.099173,-0.050828,7.719451,0.129682,-0.133908,-0.267963,-19.056133,-14.657131,-38.047997,387.000000
3828,0.099173,-0.050828,7.719451,0.015699,-0.140832,-0.297790,-19.056133,-14.657131,-38.047997,387.000000
3828,0.147082,-0.089156,7.798502,0.015699,-0.140832,-0.297790,-19.056133,-14.657131,-38.047997,387.000000
3831,0.101568,-0.163415,7.999722,0.015699,-0.140832,-0.297790,-19.056133,-14.657131,-38.047997,387.000000
3833,0.101568,-0.163415,7.999722,-0.096153,-0.153082,-0.329748,-19.056133,-14.657131,-38.047997,387.000000
3833,0.087195,-0.242466,8.133870,-0.096153,-0.153082,-0.329748,-19.056133,-14.657131,-38.047997,387.000000
3833,0.087195,-0.242466,8.133870,-0.096153,-0.153082,-0.329748,-19.066498,-14.095400,-38.065796,387.000000
3836,0.048868,-0.259235,8.296762,-0.096153,-0.153082,-0.329748,-19.066498,-14.095400,-38.065796,387.000000
3838,0.048868,-0.259235,8.296762,-0.198951,-0.164268,-0.357978,-19.066498,-14.095400,-38.065796,387.000000
3838,0.039286,-0.323912,8.476423,-0.198951,-0.164268,-0.357978,-19.066498,-14.095400,-38.065796,387.000000
3841,0.012935,-0.402963,8.680038,-0.198951,-0.164268,-0.357978,-19.066498,-14.095400,-38.065796,387.000000
3843,0.012935,-0.402963,8.680038,-0.285770,-0.157343,-0.384077,-19.066498,-14.095400,-38.065796,387.000000
3843,-0.022997,-0.503573,8.996243,-0.285770,-0.157343,-0.384077,-19.066498,-14.095400,-38.065796,387.000000
3843,-0.022997,-0.503573,8.996243,-0.285770,-0.157343,-0.384077,-16.482777,-15.834351,-35.467819,387.000000
3846,-0.025392,-0.541901,9.166322,-0.285770,-0.157343,-0.384077,-16.482777,-15.834351,-35.467819,387.000000
3848,-0.025392,-0.541901,9.166322,-0.348088,-0.133908,-0.404317,-16.482777,-15.834351,-35.467819,387.000000
3848,-0.070906,-0.541901,9.353168,-0.348088,-0.133908,-0.404317,-16.482777,-15.834351,-35.467819,387.000000
3851,-0.133189,-0.623347,9.549598,-0.348088,-0.133908,-0.404317,-16.482777,-15.834351,-35.467819,387.000000
3853,-0.133189,-0.623347,9.549598,-0.380046,-0.091297,-0.414437,-16.482777,-15.834351,-35.467819,387.000000
3853,-0.149957,-0.680839,9.690930,-0.380046,-0.091297,-0.414437,-16.482777,-15.834351,-35.467819,387.000000
3853,-0.149957,-0.680839,9.690930,-0.380046,-0.091297,-0.414437,-19.042290,-14.650320,-34.205856,387.000000
3856,-0.195471,-0.759889,9.868196,-0.380046,-0.091297,-0.414437,-19.042290,-14.650320,-34.205856,387.000000
3858,-0.195471,-0.759889,9.868196,-0.383242,-0.032708,-0.411774,-19.042290,-14.650320,-34.205856,387.000000
3858,-0.403878,-0.824567,10.028693,-0.383242,-0.032708,-0.411774,-19.042290,-14.650320,-34.205856,387.000000
3861,-0.444601,-0.850918,10.117327,-0.383242,-0.032708,-0.411774,-19.042290,-14.650320,-34.205856,387.000000
3863,-0.444601,-0.850918,10.117327,-0.364067,0.039198,-0.395262,-19.042290,-14.650320,-34.205856,387.000000
3863,-0.444601,-0.829358,10.186794,-0.364067,0.039198,-0.395262,-19.042290,-14.650320,-34.205856,387.000000
3863,-0.444601,-0.829358,10.186794,-0.364067,0.039198,-0.395262,-19.668953,-15.764885,-37.367828,387.000000
3866,-0.456578,-0.877268,10.198772,-0.364067,0.039198,-0.395262,-19.668953,-15.764885,-37.367828,387.000000
3868,-0.456578,-0.877268,10.198772,-0.327848,0.102048,-0.365967,-19.668953,-15.764885,-37.367828,387.000000
3868,-0.456578,-0.819776,10.265845,-0.327848,0.102048,-0.365967,-19.668953,-15.764885,-37.367828,387.000000
3871,-0.504488,-0.846127,10.277823,-0.327848,0.102048,-0.365967,-19.668953,-15.764885,-37.367828,387.000000
3873,-0.504488,-0.846127,10.277823,-0.274585,0.158507,-0.331346,-19.668953,-15.764885,-37.367828,387.000000
